분과,질환명,대상자수,변수종류,변수명,평균,표준편차,빈도,백분율(%)
순환기,심근경색,251886,연속형,age,67.8354653,13.272309,,
순환기,심근경색,,범주형,age650,,,101174,40.17
순환기,심근경색,,범주형,age651,,,150712,59.83
순환기,심근경색,,범주형,sex1,,,150941,59.92
순환기,심근경색,,범주형,sex2,,,100945,40.08
순환기,심근경색,,범주형,income0,,,24686,9.8
순환기,심근경색,,범주형,income1,,,50215,19.94
순환기,심근경색,,범주형,income2,,,73259,29.08
순환기,심근경색,,범주형,income3,,,99525,39.51
순환기,심근경색,,범주형,income9,,,4201,1.67
순환기,심근경색,,범주형,smk1,,,75795,30.09
순환기,심근경색,,범주형,smk2,,,25606,10.17
순환기,심근경색,,범주형,smk3,,,37830,15.02
순환기,심근경색,,범주형,smk9,,,112655,44.72
순환기,심근경색,,범주형,bmi_cat1,,,4272,1.7
순환기,심근경색,,범주형,bmi_cat2,,,42852,17.01
순환기,심근경색,,범주형,bmi_cat3,,,36547,14.51
순환기,심근경색,,범주형,bmi_cat4,,,57399,22.79
순환기,심근경색,,범주형,bmi_cat9,,,110816,43.99
순환기,심근경색,,범주형,hyper0,,,79722,31.65
순환기,심근경색,,범주형,hyper1,,,172164,68.35
순환기,심근경색,,범주형,dm0,,,143795,57.09
순환기,심근경색,,범주형,dm1,,,108091,42.91
순환기,심근경색,,범주형,dyslip0,,,94710,37.6
순환기,심근경색,,범주형,dyslip1,,,157176,62.4
순환기,심근경색,,범주형,icode0,,,66218,26.29
순환기,심근경색,,범주형,icode1,,,185668,73.71
순환기,심방세동,369729,연속형,age,69.9440482,13.0101024,,
순환기,심방세동,,범주형,age650,,,120258,32.53
순환기,심방세동,,범주형,age651,,,249471,67.47
순환기,심방세동,,범주형,sex1,,,197373,53.38
순환기,심방세동,,범주형,sex2,,,172356,46.62
순환기,심방세동,,범주형,income0,,,31935,8.64
순환기,심방세동,,범주형,income1,,,69794,18.88
순환기,심방세동,,범주형,income2,,,104155,28.17
순환기,심방세동,,범주형,income3,,,157087,42.49
순환기,심방세동,,범주형,income9,,,6758,1.83
순환기,심방세동,,범주형,smk1,,,140208,37.92
순환기,심방세동,,범주형,smk2,,,45076,12.19
순환기,심방세동,,범주형,smk3,,,36694,9.92
순환기,심방세동,,범주형,smk9,,,147751,39.96
순환기,심방세동,,범주형,bmi_cat1,,,6982,1.89
순환기,심방세동,,범주형,bmi_cat2,,,68416,18.5
순환기,심방세동,,범주형,bmi_cat3,,,55938,15.13
순환기,심방세동,,범주형,bmi_cat4,,,93287,25.23
순환기,심방세동,,범주형,bmi_cat9,,,145106,39.25
순환기,심방세동,,범주형,hyper0,,,145347,39.31
순환기,심방세동,,범주형,hyper1,,,224382,60.69
순환기,심방세동,,범주형,dm0,,,244354,66.09
순환기,심방세동,,범주형,dm1,,,125375,33.91
순환기,심방세동,,범주형,dyslip0,,,177827,48.1
순환기,심방세동,,범주형,dyslip1,,,191902,51.9
순환기,심방세동,,범주형,icode0,,,75393,20.39
순환기,심방세동,,범주형,icode1,,,294336,79.61
순환기,뇌혈관질환,1004094,연속형,age,69.1678369,12.3741277,,
순환기,뇌혈관질환,,범주형,age650,,,344106,34.27
순환기,뇌혈관질환,,범주형,age651,,,659988,65.73
순환기,뇌혈관질환,,범주형,sex1,,,485170,48.32
순환기,뇌혈관질환,,범주형,sex2,,,518924,51.68
순환기,뇌혈관질환,,범주형,income0,,,107734,10.73
순환기,뇌혈관질환,,범주형,income1,,,195883,19.51
순환기,뇌혈관질환,,범주형,income2,,,285721,28.46
순환기,뇌혈관질환,,범주형,income3,,,396262,39.46
순환기,뇌혈관질환,,범주형,income9,,,18494,1.84
순환기,뇌혈관질환,,범주형,smk1,,,372250,37.07
순환기,뇌혈관질환,,범주형,smk2,,,83136,8.28
순환기,뇌혈관질환,,범주형,smk3,,,104531,10.41
순환기,뇌혈관질환,,범주형,smk9,,,444177,44.24
순환기,뇌혈관질환,,범주형,bmi_cat1,,,18347,1.83
순환기,뇌혈관질환,,범주형,bmi_cat2,,,186849,18.61
순환기,뇌혈관질환,,범주형,bmi_cat3,,,147747,14.71
순환기,뇌혈관질환,,범주형,bmi_cat4,,,216808,21.59
순환기,뇌혈관질환,,범주형,bmi_cat9,,,434343,43.26
순환기,뇌혈관질환,,범주형,hyper0,,,408146,40.65
순환기,뇌혈관질환,,범주형,hyper1,,,595948,59.35
순환기,뇌혈관질환,,범주형,dm0,,,642699,64.01
순환기,뇌혈관질환,,범주형,dm1,,,361395,35.99
순환기,뇌혈관질환,,범주형,dyslip0,,,517028,51.49
순환기,뇌혈관질환,,범주형,dyslip1,,,487066,48.51
순환기,뇌혈관질환,,범주형,icode0,,,291828,29.06
순환기,뇌혈관질환,,범주형,icode1,,,712266,70.94
순환기,심부전,1017215,연속형,age,69.0149418,12.7444475,,
순환기,심부전,,범주형,age650,,,364385,35.82
순환기,심부전,,범주형,age651,,,652830,64.18
순환기,심부전,,범주형,sex1,,,473297,46.53
순환기,심부전,,범주형,sex2,,,543918,53.47
순환기,심부전,,범주형,income0,,,104377,10.26
순환기,심부전,,범주형,income1,,,198544,19.52
순환기,심부전,,범주형,income2,,,290458,28.55
순환기,심부전,,범주형,income3,,,405354,39.85
순환기,심부전,,범주형,income9,,,18482,1.82
순환기,심부전,,범주형,smk1,,,405339,39.85
순환기,심부전,,범주형,smk2,,,107017,10.52
순환기,심부전,,범주형,smk3,,,99424,9.77
순환기,심부전,,범주형,smk9,,,405435,39.86
순환기,심부전,,범주형,bmi_cat1,,,17917,1.76
순환기,심부전,,범주형,bmi_cat2,,,176361,17.34
순환기,심부전,,범주형,bmi_cat3,,,151912,14.93
순환기,심부전,,범주형,bmi_cat4,,,272218,26.76
순환기,심부전,,범주형,bmi_cat9,,,398807,39.21
순환기,심부전,,범주형,hyper0,,,224238,22.04
순환기,심부전,,범주형,hyper1,,,792977,77.96
순환기,심부전,,범주형,dm0,,,636980,62.62
순환기,심부전,,범주형,dm1,,,380235,37.38
순환기,심부전,,범주형,dyslip0,,,441581,43.41
순환기,심부전,,범주형,dyslip1,,,575634,56.59
순환기,심부전,,범주형,icode0,,,165000,16.22
순환기,심부전,,범주형,icode1,,,852215,83.78
순환기,허혈성심질환,619362,연속형,age,66.7611171,12.8445651,,
순환기,허혈성심질환,,범주형,age650,,,265014,42.79
순환기,허혈성심질환,,범주형,age651,,,354348,57.21
순환기,허혈성심질환,,범주형,sex1,,,322853,52.13
순환기,허혈성심질환,,범주형,sex2,,,296509,47.87
순환기,허혈성심질환,,범주형,income0,,,60753,9.81
순환기,허혈성심질환,,범주형,income1,,,120775,19.5
순환기,허혈성심질환,,범주형,income2,,,180595,29.16
순환기,허혈성심질환,,범주형,income3,,,246385,39.78
순환기,허혈성심질환,,범주형,income9,,,10854,1.75
순환기,허혈성심질환,,범주형,smk1,,,219120,35.38
순환기,허혈성심질환,,범주형,smk2,,,58679,9.47
순환기,허혈성심질환,,범주형,smk3,,,74726,12.06
순환기,허혈성심질환,,범주형,smk9,,,266837,43.08
순환기,허혈성심질환,,범주형,bmi_cat1,,,9523,1.54
순환기,허혈성심질환,,범주형,bmi_cat2,,,105861,17.09
순환기,허혈성심질환,,범주형,bmi_cat3,,,92997,15.01
순환기,허혈성심질환,,범주형,bmi_cat4,,,150953,24.37
순환기,허혈성심질환,,범주형,bmi_cat9,,,260028,41.98
순환기,허혈성심질환,,범주형,hyper0,,,194450,31.4
순환기,허혈성심질환,,범주형,hyper1,,,424912,68.6
순환기,허혈성심질환,,범주형,dm0,,,376401,60.77
순환기,허혈성심질환,,범주형,dm1,,,242961,39.23
순환기,허혈성심질환,,범주형,dyslip0,,,268925,43.42
순환기,허혈성심질환,,범주형,dyslip1,,,350437,56.58
순환기,허혈성심질환,,범주형,icode0,,,141867,22.91
순환기,허혈성심질환,,범주형,icode1,,,477495,77.09
순환기,말초혈관질환,749009,연속형,age,65.2813611,11.6270145,,
순환기,말초혈관질환,,범주형,age650,,,355699,47.49
순환기,말초혈관질환,,범주형,age651,,,393310,52.51
순환기,말초혈관질환,,범주형,sex1,,,354694,47.36
순환기,말초혈관질환,,범주형,sex2,,,394315,52.64
순환기,말초혈관질환,,범주형,income0,,,61142,8.16
순환기,말초혈관질환,,범주형,income1,,,149777,20
순환기,말초혈관질환,,범주형,income2,,,221240,29.54
순환기,말초혈관질환,,범주형,income3,,,303971,40.58
순환기,말초혈관질환,,범주형,income9,,,12879,1.72
순환기,말초혈관질환,,범주형,smk1,,,331723,44.29
순환기,말초혈관질환,,범주형,smk2,,,82731,11.05
순환기,말초혈관질환,,범주형,smk3,,,85047,11.35
