분과,질환,OddsRatioEst,LowerCL,UpperCL,air,model,p-value
순환기,심근경색,1.003,0.999,1.007,pm25,crude,
순환기,심근경색,1.003,0.999,1.007,pm25,adjust,
순환기,심근경색,1.003,1,1.005,pm10,crude,0.0174
순환기,심근경색,1.002,1,1.005,pm10,adjust,0.0384
순환기,심방세동,1.008,1.004,1.012,pm25,crude,
순환기,심방세동,1.008,1.004,1.011,pm25,adjust,
순환기,심방세동,1.004,1.002,1.006,pm10,crude,
순환기,심방세동,1.004,1.002,1.006,pm10,adjust,
순환기,뇌혈관질환,1.002,0.999,1.004,pm25,crude,
순환기,뇌혈관질환,1.002,1,1.004,pm25,adjust,0.1227
순환기,뇌혈관질환,1.002,1.001,1.004,pm10,crude,
순환기,뇌혈관질환,1.002,1.001,1.003,pm10,adjust,
순환기,심부전,1.005,1.002,1.007,pm25,crude,
순환기,심부전,1.005,1.003,1.007,pm25,adjust,
순환기,심부전,1.004,1.002,1.005,pm10,crude,
순환기,심부전,1.003,1.002,1.004,pm10,adjust,
순환기,허혈성심질환,1.003,1.001,1.006,pm25,crude,
순환기,허혈성심질환,1.004,1.001,1.006,pm25,adjust,
순환기,허혈성심질환,1.004,1.003,1.005,pm10,crude,
순환기,허혈성심질환,1.004,1.002,1.005,pm10,adjust,
순환기,말초혈관질환,1.007,1.004,1.009,pm25,crude,
순환기,말초혈관질환,1.007,1.004,1.009,pm25,adjust,
순환기,말초혈관질환,1.004,1.003,1.006,pm10,crude,
순환기,말초혈관질환,1.004,1.003,1.005,pm10,adjust,
순환기,병원밖심정지,1.006,0.998,1.014,pm10,adjust,
순환기,병원밖심정지,1.005,0.997,1.013,pm10,crude,
순환기,병원밖심정지,1.006,0.991,1.021,pm25,adjust,
순환기,병원밖심정지,1.003,0.989,1.018,pm25,crude,
호흡기,특발성폐섬유화증,1.01,0.998,1.021,pm10,adjust,
호흡기,특발성폐섬유화증,1.012,1,1.023,pm10,crude,0.0443
호흡기,특발성폐섬유화증,1.016,0.994,1.037,pm25,adjust,
호흡기,특발성폐섬유화증,1.018,0.997,1.04,pm25,crude,
호흡기,결핵,1.002,1,1.005,pm10,adjust,0.076
호흡기,결핵,1.003,1.001,1.006,pm10,crude,
호흡기,결핵,1.001,0.996,1.006,pm25,adjust,
호흡기,결핵,1.003,0.998,1.007,pm25,crude,
호흡기,만성폐쇄성폐질환,1.002,0.999,1.004,pm10,adjust,
호흡기,만성폐쇄성폐질환,1.002,1,1.005,pm10,crude,0.0973
호흡기,만성폐쇄성폐질환,1.002,0.997,1.007,pm25,adjust,
