분과,질환,Days,OddsRatioEst,LowerCL,UpperCL,air,p-value
순환기,심근경색,3 days,1.002,1,1.005,pm10_avg2_by10,0.0914
순환기,심근경색,4 days,1.003,1,1.005,pm10_avg3_by10,0.0522
순환기,심근경색,5 days,1.003,1,1.005,pm10_avg4_by10,0.0861
순환기,심근경색,6 days,1.001,0.998,1.004,pm10_avg5_by10,
순환기,심근경색,7 days,1,0.997,1.004,pm10_avg6_by10,
순환기,심근경색,3 days,1.002,0.997,1.007,pm25_avg2_by10,
순환기,심근경색,4 days,1.003,0.998,1.008,pm25_avg3_by10,
순환기,심근경색,5 days,1.002,0.997,1.008,pm25_avg4_by10,
순환기,심근경색,6 days,1,0.994,1.006,pm25_avg5_by10,
순환기,심근경색,7 days,0.999,0.993,1.005,pm25_avg6_by10,
순환기,심방세동,3 days,1.003,1.001,1.005,pm10_avg2_by10,
순환기,심방세동,4 days,1.003,1.001,1.005,pm10_avg3_by10,
순환기,심방세동,5 days,1.003,1,1.005,pm10_avg4_by10,0.026
순환기,심방세동,6 days,1.002,0.999,1.005,pm10_avg5_by10,
순환기,심방세동,7 days,1.001,0.999,1.004,pm10_avg6_by10,
순환기,심방세동,3 days,1.005,1.001,1.009,pm25_avg2_by10,
순환기,심방세동,4 days,1.005,1.001,1.009,pm25_avg3_by10,
순환기,심방세동,5 days,1.004,1,1.009,pm25_avg4_by10,0.0764
순환기,심방세동,6 days,1.002,0.997,1.007,pm25_avg5_by10,
순환기,심방세동,7 days,1.001,0.996,1.006,pm25_avg6_by10,
순환기,뇌혈관질환,3 days,1.001,1,1.003,pm10_avg2_by10,0.0359
순환기,뇌혈관질환,4 days,1.001,1,1.003,pm10_avg3_by10,0.0542
순환기,뇌혈관질환,5 days,1.002,1,1.003,pm10_avg4_by10,0.0401
순환기,뇌혈관질환,6 days,1.002,1,1.003,pm10_avg5_by10,0.05
순환기,뇌혈관질환,7 days,1.001,1,1.003,pm10_avg6_by10,0.1409
순환기,뇌혈관질환,3 days,1,0.998,1.002,pm25_avg2_by10,
순환기,뇌혈관질환,4 days,1,0.998,1.003,pm25_avg3_by10,
순환기,뇌혈관질환,5 days,1,0.997,1.003,pm25_avg4_by10,
순환기,뇌혈관질환,6 days,0.999,0.996,1.002,pm25_avg5_by10,
순환기,뇌혈관질환,7 days,0.999,0.996,1.002,pm25_avg6_by10,
순환기,심부전,3 days,1.005,1.003,1.006,pm10_avg2_by10,
순환기,심부전,4 days,1.005,1.004,1.007,pm10_avg3_by10,
순환기,심부전,5 days,1.006,1.005,1.007,pm10_avg4_by10,
순환기,심부전,6 days,1.006,1.004,1.007,pm10_avg5_by10,
순환기,심부전,7 days,1.005,1.004,1.007,pm10_avg6_by10,
순환기,심부전,3 days,1.006,1.004,1.009,pm25_avg2_by10,
순환기,심부전,4 days,1.008,1.005,1.01,pm25_avg3_by10,
순환기,심부전,5 days,1.008,1.005,1.011,pm25_avg4_by10,
순환기,심부전,6 days,1.006,1.003,1.009,pm25_avg5_by10,
순환기,심부전,7 days,1.005,1.002,1.008,pm25_avg6_by10,
순환기,허혈성심질환,3 days,1.003,1.002,1.005,pm10_avg2_by10,
순환기,허혈성심질환,4 days,1.003,1.002,1.005,pm10_avg3_by10,
순환기,허혈성심질환,5 days,1.003,1.001,1.005,pm10_avg4_by10,
순환기,허혈성심질환,6 days,1.002,1,1.004,pm10_avg5_by10,0.0546
순환기,허혈성심질환,7 days,1.001,0.999,1.003,pm10_avg6_by10,
순환기,허혈성심질환,3 days,1.004,1.001,1.007,pm25_avg2_by10,
순환기,허혈성심질환,4 days,1.004,1.001,1.008,pm25_avg3_by10,
순환기,허혈성심질환,5 days,1.003,1,1.007,pm25_avg4_by10,0.0621
순환기,허혈성심질환,6 days,1,0.997,1.004,pm25_avg5_by10,
