분과,질환,subgroup,OddsRatioEst,LowerCL,UpperCL,air,p-value
순환기,심근경색,age650,1.003,1,1.006,pm10,0.0653
순환기,심근경색,age651,1.006,1.003,1.008,pm10,
순환기,심근경색,bmi_cat11,1.002,0.997,1.007,pm10,
순환기,심근경색,bmi_cat12,1.002,0.998,1.006,pm10,
순환기,심근경색,bmi_cat19,1.007,1.004,1.01,pm10,
순환기,심근경색,dm0,1.005,1.003,1.008,pm10,
순환기,심근경색,dm1,1.004,1.001,1.007,pm10,
순환기,심근경색,dyslip0,1.006,1.003,1.009,pm10,
순환기,심근경색,dyslip1,1.003,1,1.006,pm10,0.0304
순환기,심근경색,hyper0,1.003,1,1.007,pm10,0.0661
순환기,심근경색,hyper1,1.005,1.003,1.008,pm10,
순환기,심근경색,medicaid0,1.004,1.002,1.006,pm10,
순환기,심근경색,medicaid1,1.011,1.004,1.018,pm10,
순환기,심근경색,sex_type0,1.004,1.001,1.007,pm10,
순환기,심근경색,sex_type1,1.006,1.003,1.009,pm10,
순환기,심근경색,smk11,1.004,1,1.009,pm10,0.0405
순환기,심근경색,smk12,0.999,0.995,1.004,pm10,
순환기,심근경색,smk19,1.007,1.004,1.01,pm10,
순환기,심근경색,age650,1.008,1.001,1.014,pm25,
순환기,심근경색,age651,1.013,1.008,1.018,pm25,
순환기,심근경색,bmi_cat11,1.006,0.996,1.016,pm25,
순환기,심근경색,bmi_cat12,1.004,0.997,1.012,pm25,
순환기,심근경색,bmi_cat19,1.017,1.011,1.022,pm25,
순환기,심근경색,dm0,1.012,1.007,1.018,pm25,
순환기,심근경색,dm1,1.01,1.003,1.016,pm25,
순환기,심근경색,dyslip0,1.014,1.008,1.02,pm25,
순환기,심근경색,dyslip1,1.008,1.003,1.014,pm25,
순환기,심근경색,hyper0,1.009,1.002,1.017,pm25,
순환기,심근경색,hyper1,1.012,1.007,1.017,pm25,
순환기,심근경색,medicaid0,1.01,1.006,1.014,pm25,
순환기,심근경색,medicaid1,1.02,1.007,1.033,pm25,
순환기,심근경색,sex_type0,1.011,1.005,1.016,pm25,
순환기,심근경색,sex_type1,1.012,1.005,1.018,pm25,
순환기,심근경색,smk11,1.011,1.003,1.02,pm25,
순환기,심근경색,smk12,0.998,0.989,1.007,pm25,
순환기,심근경색,smk19,1.016,1.01,1.022,pm25,
순환기,심방세동,age650,1.007,1.001,1.012,pm10,
순환기,심방세동,age651,1.003,0.999,1.006,pm10,
순환기,심방세동,bmi_cat11,1.004,0.997,1.01,pm10,
순환기,심방세동,bmi_cat12,1.006,1.001,1.011,pm10,
순환기,심방세동,bmi_cat19,1.002,0.998,1.006,pm10,
